Dataset Atlas Type Value
SWU4 Hammer Ipsi 0.8598121694539286
SWU4 Hammer Ipsi 0.8809774919815294
SWU4 Hammer Ipsi 0.9268420522984399
SWU4 Hammer Ipsi 0.9042352054785846
SWU4 Hammer Ipsi 0.7863741123565127
SWU4 Hammer Ipsi 0.7513921509884507
SWU4 Hammer Ipsi 0.8516248057841224
SWU4 Hammer Ipsi 0.7854560851107983
SWU4 Hammer Ipsi 0.9236943477811351
SWU4 Hammer Ipsi 0.8453305656926096
SWU4 Hammer Ipsi 0.8564739259339976
SWU4 Hammer Ipsi 0.8280028533518125
SWU4 Hammer Ipsi 0.8651880041677672
SWU4 Hammer Ipsi 0.8492796818897408
SWU4 Hammer Ipsi 0.9397675387191364
SWU4 Hammer Ipsi 0.8675949706242124
SWU4 Hammer Ipsi 0.8738364102894131
SWU4 Hammer Ipsi 0.8272583665639406
SWU4 Hammer Ipsi 0.9430910532715742
SWU4 Hammer Ipsi 0.877400455575987
SWU4 Hammer Ipsi 0.7667382120534131
SWU4 Hammer Ipsi 0.9016568582144785
SWU4 Hammer Ipsi 0.8739326736353525
SWU4 Hammer Ipsi 0.7618938081328522
SWU4 Hammer Ipsi 0.9132557804353985
SWU4 Hammer Ipsi 0.8782316971233418
SWU4 Hammer Ipsi 0.8683803244215269
SWU4 Hammer Ipsi 0.8125923981355171
SWU4 Hammer Ipsi 0.9367778951452351
SWU4 Hammer Ipsi 0.9138580129717356
SWU4 Hammer Ipsi 0.9603838299276312
SWU4 Hammer Ipsi 0.8670975942975103
SWU4 Hammer Ipsi 0.8860229336586666
SWU4 Hammer Ipsi 0.8920463232770407
SWU4 Hammer Ipsi 0.9250867457713301
SWU4 Hammer Ipsi 0.8511708492082849
SWU4 Hammer Ipsi 0.8880058480062105
SWU4 Hammer Ipsi 0.922309942600616
SWU4 Hammer Ipsi 0.7472150850429841
SWU4 Hammer Ipsi 0.9230834659182182
SWU4 Hammer Ipsi 0.8318190395896484
SWU4 Hammer Ipsi 0.6998231637993908
SWU4 Hammer Ipsi 0.8915493035601955
SWU4 Hammer Ipsi 0.7783682578709594
SWU4 Hammer Ipsi 0.9257361933035803
SWU4 Hammer Ipsi 0.8987341501524773
SWU4 Hammer Ipsi 0.8493161063878466
SWU4 Hammer Ipsi 0.9304776789351663
SWU4 Hammer Ipsi 0.9326045534176353
SWU4 Hammer Ipsi 0.7562214058232851
SWU4 Hammer Ipsi 0.9089902889965257
SWU4 Hammer Ipsi 0.8480690475227294
SWU4 Hammer Ipsi 0.8353299518457499
SWU4 Hammer Ipsi 0.8814583872565206
SWU4 Hammer Ipsi 0.8979927514291712
SWU4 Hammer Ipsi 0.8322934643561032
SWU4 Hammer Ipsi 0.8597848888103914
SWU4 Hammer Ipsi 0.8345269076795344
SWU4 Hammer Ipsi 0.8404535466120839
SWU4 Hammer Ipsi 0.9438354246843635
SWU4 Hammer Ipsi 0.8766784658577267
SWU4 Hammer Ipsi 0.9490891187857117
SWU4 Hammer Ipsi 0.8634075092850779
SWU4 Hammer Ipsi 0.9293838400180566
SWU4 Hammer Ipsi 0.8968221784475856
SWU4 Hammer Ipsi 0.8767445202577939
SWU4 Hammer Ipsi 0.9183332264237034
SWU4 Hammer Ipsi 0.7778668482982465
SWU4 Hammer Ipsi 0.8543079259842632
SWU4 Hammer Ipsi 0.8194138799079623
SWU4 Hammer Ipsi 0.8784168946293934
SWU4 Hammer Ipsi 0.8306963658277012
SWU4 Hammer Ipsi 0.8535744585911972
SWU4 Hammer Ipsi 0.8303508224637086
SWU4 Hammer Ipsi 0.844292692975292
SWU4 Hammer Ipsi 0.8851367886346622
SWU4 Hammer Ipsi 0.9123908806301635
SWU4 Hammer Ipsi 0.8910638713229014
SWU4 Hammer Ipsi 0.8045727038129393
SWU4 Hammer Ipsi 0.8258825437459166
SWU4 Hammer Ipsi 0.8623941973371431
SWU4 Hammer Ipsi 0.8987985604327997
SWU4 Hammer Ipsi 0.8923793874932925
SWU4 Hammer Ipsi 0.8716680912671816
SWU4 Hammer Ipsi 0.8564824658553291
SWU4 Hammer Ipsi 0.9329799052515221
SWU4 Hammer Ipsi 0.8306329796276104
SWU4 Hammer Ipsi 0.8135534864909069
SWU4 Hammer Ipsi 0.9045532511384738
SWU4 Hammer Ipsi 0.8666113854993867
SWU4 Hammer Ipsi 0.9324928880811243
SWU4 Hammer Ipsi 0.9003214348109438
SWU4 Hammer Ipsi 0.8742274224496712
SWU4 Hammer Ipsi 0.7228298560169014
SWU4 Hammer Ipsi 0.8565543449412948
SWU4 Hammer Ipsi 0.865363552929541
SWU4 Hammer Ipsi 0.852857840244641
SWU4 Hammer Ipsi 0.8702216517086717
SWU4 Hammer Ipsi 0.8673684967744533
SWU4 Hammer Ipsi 0.8601370154233324
SWU4 Hammer Ipsi 0.9213095534032565
SWU4 Hammer Ipsi 0.9251011087075749
SWU4 Hammer Ipsi 0.8583048137031384
SWU4 Hammer Ipsi 0.8531181633474012
SWU4 Hammer Ipsi 0.8140250085051598
SWU4 Hammer Ipsi 0.8420312415637263
SWU4 Hammer Ipsi 0.8608662094692919
SWU4 Hammer Ipsi 0.8030292908801328
SWU4 Hammer Ipsi 0.9039374540977214
SWU4 Hammer Ipsi 0.8641298270217456
SWU4 Hammer Ipsi 0.8662420766167198
SWU4 Hammer Ipsi 0.8349778645783289
SWU4 Hammer Ipsi 0.9652132855280283
SWU4 Hammer Ipsi 0.8666500169487507
SWU4 Hammer Ipsi 0.8859120873276612
SWU4 Hammer Ipsi 0.8919749485114703
SWU4 Hammer Ipsi 0.9443617387083072
SWU4 Hammer Ipsi 0.7987552093797525
SWU4 Hammer Ipsi 0.8616127230354338
SWU4 Hammer Ipsi 0.8943155247630407
SWU4 Hammer Ipsi 0.86122447334967
SWU4 Hammer Ipsi 0.8486124328536476
SWU4 Hammer Ipsi 0.8978284988626596
SWU4 Hammer Ipsi 0.8071990158903535
SWU4 Hammer Ipsi 0.8421295833279454
SWU4 Hammer Ipsi 0.8364646517667704
SWU4 Hammer Ipsi 0.8735343778748189
SWU4 Hammer Ipsi 0.8148892813265428
SWU4 Hammer Ipsi 0.8744149783524483
SWU4 Hammer Ipsi 0.8572878777671555
SWU4 Hammer Ipsi 0.8291179114912739
SWU4 Hammer Ipsi 0.8828691652174295
SWU4 Hammer Ipsi 0.8533407798517174
SWU4 Hammer Ipsi 0.9333799928752406
SWU4 Hammer Ipsi 0.828757593259345
SWU4 Hammer Ipsi 0.832871371441234
SWU4 Hammer Ipsi 0.8055816162123711
SWU4 Hammer Ipsi 0.8312193488068964
SWU4 Hammer Ipsi 0.8900707996232962
SWU4 Hammer Ipsi 0.9388443746910237
SWU4 Hammer Ipsi 0.7681976292589104
SWU4 Hammer Ipsi 0.8850573765794676
SWU4 Hammer Ipsi 0.8934517864407199
SWU4 Hammer Ipsi 0.8916508157409039
SWU4 Hammer Ipsi 0.8809708726972904
SWU4 Hammer Ipsi 0.8740291843104898
SWU4 Hammer Ipsi 0.873585690686489
SWU4 Hammer Ipsi 0.8967704767597813
SWU4 Hammer Ipsi 0.8827420312911354
SWU4 Hammer Ipsi 0.8153462202927962
SWU4 Hammer Ipsi 0.9406068081649844
SWU4 Hammer Ipsi 0.8535286602535755
SWU4 Hammer Ipsi 0.8852514805404345
SWU4 Hammer Ipsi 0.8906618612186895
SWU4 Hammer Ipsi 0.7745865065679579
SWU4 Hammer Ipsi 0.9358993045786627
SWU4 Hammer Ipsi 0.8761269385240266
SWU4 Hammer Ipsi 0.8794564483753176
SWU4 Hammer Ipsi 0.8951356024920003
SWU4 Hammer Ipsi 0.8154596783634457
SWU4 Hammer Ipsi 0.8480154803138474
SWU4 Hammer Ipsi 0.9160384367390194
SWU4 Hammer Ipsi 0.8541277940487386
SWU4 Hammer Ipsi 0.8779333064246923
SWU4 Hammer Hom 0.011059914452034188
SWU4 Hammer Hom 0.01304917463494108
SWU4 Hammer Hom 0.014460452535213308
SWU4 Hammer Hom 0.00911412495867707
SWU4 Hammer Hom 0.009345130194537865
SWU4 Hammer Hom 0.017191771804430534
SWU4 Hammer Hom 0.035721483949854214
