Dataset Atlas Type Value
SWU4 AAL Ipsi 0.2783154591651543
SWU4 AAL Ipsi 0.3229835450695705
SWU4 AAL Ipsi 0.30640804053236537
SWU4 AAL Ipsi 0.23933685027223228
SWU4 AAL Ipsi 0.25655099818511795
SWU4 AAL Ipsi 0.287369295523291
SWU4 AAL Ipsi 0.49843082425892316
SWU4 AAL Ipsi 0.27887985359951606
SWU4 AAL Ipsi 0.2581318251663642
SWU4 AAL Ipsi 0.3360249032062916
SWU4 AAL Ipsi 0.2524628635813672
SWU4 AAL Ipsi 0.3019315493042952
SWU4 AAL Ipsi 0.2702057202056866
SWU4 AAL Ipsi 0.20974583726557774
SWU4 AAL Ipsi 0.28168424863883845
SWU4 AAL Ipsi 0.3385223850574713
SWU4 AAL Ipsi 0.3120252189957653
SWU4 AAL Ipsi 0.280528501814882
SWU4 AAL Ipsi 0.46807484664246823
SWU4 AAL Ipsi 0.2615109718693285
SWU4 AAL Ipsi 0.3813454848759831
SWU4 AAL Ipsi 0.30613792196007256
SWU4 AAL Ipsi 0.3304102558983666
SWU4 AAL Ipsi 0.21900822928009678
SWU4 AAL Ipsi 0.2469744966727163
SWU4 AAL Ipsi 0.24484326073805202
SWU4 AAL Ipsi 0.5006449032062916
SWU4 AAL Ipsi 0.27778948729582575
SWU4 AAL Ipsi 0.3250761333938294
SWU4 AAL Ipsi 0.2500179706594071
SWU4 AAL Ipsi 0.3265043808227465
SWU4 AAL Ipsi 0.26317796460980036
SWU4 AAL Ipsi 0.26105094494857833
SWU4 AAL Ipsi 0.3162781972171808
SWU4 AAL Ipsi 0.29447363339382937
SWU4 AAL Ipsi 0.27643214095583785
SWU4 AAL Ipsi 0.39140180913490624
SWU4 AAL Ipsi 0.27027332728372655
SWU4 AAL Ipsi 0.3309108548094374
SWU4 AAL Ipsi 0.2094012849364791
SWU4 AAL Ipsi 0.3378555381125227
SWU4 AAL Ipsi 0.24274559013914093
SWU4 AAL Ipsi 0.318715481246219
SWU4 AAL Ipsi 0.32415595765275257
SWU4 AAL Ipsi 0.2704053753781004
SWU4 AAL Ipsi 0.23813070961887478
SWU4 AAL Ipsi 0.25498538203266785
SWU4 AAL Ipsi 0.23550282819116755
SWU4 AAL Ipsi 0.26752100362976405
SWU4 AAL Ipsi 0.3127782005444646
SWU4 AAL Ipsi 0.22425885027223227
SWU4 AAL Ipsi 0.3096814195402299
SWU4 AAL Ipsi 0.2805946394434362
SWU4 AAL Ipsi 0.24040387719298245
SWU4 AAL Ipsi 0.3007737988505747
SWU4 AAL Ipsi 0.278616811554749
SWU4 AAL Ipsi 0.3153430798548094
SWU4 AAL Ipsi 0.19359861826981245
SWU4 AAL Ipsi 0.26387285329703575
SWU4 AAL Ipsi 0.6151664845735026
SWU4 AAL Ipsi 0.19593718542044766
SWU4 AAL Ipsi 0.268042626739262
SWU4 AAL Ipsi 0.2444926418632789
SWU4 AAL Ipsi 0.3944380226860254
SWU4 AAL Ipsi 0.2542210707803993
SWU4 AAL Ipsi 0.32649440683605563
SWU4 AAL Ipsi 0.4777730012099214
SWU4 AAL Ipsi 0.23250870780399271
SWU4 AAL Ipsi 0.21962207501512404
SWU4 AAL Ipsi 0.2700326137326074
SWU4 AAL Ipsi 0.31591153781004233
SWU4 AAL Ipsi 0.2997361932849365
SWU4 AAL Ipsi 0.2372717683000605
SWU4 AAL Ipsi 0.34031892528735636
SWU4 AAL Ipsi 0.4041175054446461
SWU4 AAL Ipsi 0.2937535762250454
SWU4 AAL Ipsi 0.36068941530550513
SWU4 AAL Ipsi 0.295708647307925
SWU4 AAL Ipsi 0.2766273956442831
SWU4 AAL Ipsi 0.23640368905021175
