,Mean,BNU1 [57/2],IPCAS1 [30/3-4],SWU1 [20/6],IPCAS7 [72/2],BNU3 [48/3],UPSM1 [100/2],XHCUMS [24/12],NYU2 [187/2-4],HNU1 [30/10],SWU4 [235/2]
DS00140,0.922445224476564,0.973107993197279,0.935650595754754,0.945903494298969,0.976721439749609,0.957865445232466,0.805636565450574,0.897660401914396,0.914670828523097,0.975215836526181,0.915231917280398
Talairach [1105],0.916457831235603,0.95046768707483,0.971138553530252,0.94357518966157,0.987187010954616,0.959613869188338,0.808832050667694,0.834521728582697,0.894003547527228,0.978586206896552,0.924907330634541
DS00096,0.91278881256952,0.959396258503402,0.921742418264552,0.946041776858526,0.970803990610329,0.931786840031521,0.800011731771744,0.87029536727317,0.904869604339012,0.977877394636015,0.908769448373409
DS00108,0.91085043928584,0.963329081632653,0.932296351824088,0.939869717040464,0.973298122065728,0.944715327029157,0.791412791045401,0.854394120727622,0.908818781277378,0.976651340996169,0.903751889967322
DS00071,0.908477842013222,0.966305272108844,0.919467240064178,0.943788731616051,0.966158059467919,0.927132584712372,0.808123725274595,0.866746638861999,0.899690928127417,0.969558109833972,0.897112617665707
Destrieux [75],0.903021862733104,0.956738945578231,0.91072818853731,0.921391035711372,0.952073552425665,0.890341804570528,0.827833646624506,0.845277992101926,0.903106431233778,0.959031928480204,0.90472735697215
Juelich [103],0.899142116966333,0.920280612244898,0.917386701386149,0.919804272944248,0.945569248826291,0.92400512214342,0.79904594907612,0.852193810709295,0.905637786875285,0.959130268199234,0.893613129785885
Desikan [70],0.895387921530045,0.95078656462585,0.89777479681212,0.920806985966491,0.963321596244132,0.906693262411348,0.804700868877535,0.846030357896135,0.898751847242479,0.950634738186462,0.883468272935668
MICCAI [136],0.892868709760389,0.944515306122449,0.914627993021034,0.925953439170147,0.969874804381847,0.897803388494878,0.793831666872891,0.83036601700737,0.899222209114868,0.950449553001277,0.882017265765986
AAL [116],0.89232777505757,0.947172619047619,0.907601681615333,0.921076709322429,0.97339593114241,0.891449960598897,0.773463361882662,0.850139435292889,0.892742576683951,0.947775223499362,0.888778471443203
HOC [48],0.887081823132963,0.945259353741497,0.897049720753658,0.912921985479674,0.939700704225352,0.85192572892041,0.785884148209204,0.845049967377971,0.890785407860822,0.953628352490422,0.886358093937472
DKT [84],0.879555281011475,0.948235544217687,0.906519328055271,0.91030987924288,0.956034820031299,0.883692868400315,0.770484169856684,0.820150117301697,0.885733698762773,0.943761174968071,0.863288299273277
Brodmann [40],0.872225463432746,0.936224489795918,0.87214704051483,0.917657669748091,0.938722613458529,0.871503152088259,0.762405894603893,0.835835606497055,0.863079515071728,0.937464878671775,0.862355508949909
DesikanKlein [97],0.863202074256894,0.920174319727891,0.886400001753509,0.895648243903594,0.953247261345853,0.873620961386919,0.752126186888456,0.798989224900143,0.872712703773063,0.927902937420179,0.844864166219577
Hammersmith [83],0.859906641684793,0.919855442176871,0.863700167460129,0.904475434123031,0.943613067292645,0.877979708431836,0.726284871147856,0.807498686147632,0.865935232684962,0.928049808429119,0.847504023801395
Yeo-17,0.791756688368987,0.860012755102041,0.802251944203337,0.813373673421592,0.816167840375587,0.747192671394799,0.712727652669819,0.751354458101751,0.809218479849415,0.864420178799489,0.775477978832366
Yeo-17-lib,0.790428606143508,0.853210034013605,0.802182461400878,0.808141040316405,0.82096048513302,0.746035263987392,0.710120329961831,0.747003195963197,0.806573608899477,0.86987037037037,0.772746671218846
HOS [48],0.753151738389139,0.750212585034014,0.746974429451941,0.816015515013723,0.844874804381847,0.784500591016548,0.636213497421553,0.718645718056873,0.773514289455274,0.815300127713921,0.721632200165829
JHU [48],0.731421199284543,0.731505102040816,0.765134757182812,0.803349569363637,0.771909233176839,0.827940307328605,0.608210097265952,0.711097941863451,0.68437482609815,0.81323754789272,0.709944886114227
Yeo-7,0.690163241058517,0.773384353741497,0.675811765170046,0.72488737405235,0.690409820031299,0.609670508274232,0.625243049863541,0.676208111625702,0.699128091822558,0.737537037037037,0.694160610642345
Yeo-7-lib,0.688900139068158,0.771258503401361,0.671001341434546,0.71317815688163,0.696302816901409,0.613499802994484,0.62754942054249,0.675731118416405,0.694646045032749,0.742994891443167,0.688024313515095
Tissue [3],0.52047615158252,0.517431972789116,0.4890949262211,0.502484612611475,0.523376369327074,0.510786052009456,0.511550770725343,0.503866086917757,0.524540666936404,0.576372924648787,0.509254743208311
dsizes,200.0,106.0,114.0,119.0,144.0,144.0,230.0,247.0,300.0,300.0,429.0
