Dataset Atlas Type Value
SWU4 DKT Ipsi 0.3117477835365854
SWU4 DKT Ipsi 0.2526509670731707
SWU4 DKT Ipsi 0.4536560426829268
SWU4 DKT Ipsi 0.35331056097560976
SWU4 DKT Ipsi 0.24861051219512192
SWU4 DKT Ipsi 0.22978885975609759
SWU4 DKT Ipsi 0.38527177256097556
SWU4 DKT Ipsi 0.29606241585365856
SWU4 DKT Ipsi 0.2705034152439024
SWU4 DKT Ipsi 0.38807716585365853
SWU4 DKT Ipsi 0.25290387743902437
SWU4 DKT Ipsi 0.31452648719512194
SWU4 DKT Ipsi 0.30245797987804873
SWU4 DKT Ipsi 0.3590882609756097
SWU4 DKT Ipsi 0.2847795475609756
SWU4 DKT Ipsi 0.2971672621951219
SWU4 DKT Ipsi 0.42666660060975614
SWU4 DKT Ipsi 0.35571116524390245
SWU4 DKT Ipsi 0.4588142195121951
SWU4 DKT Ipsi 0.22850003902439023
SWU4 DKT Ipsi 0.30012505182926835
SWU4 DKT Ipsi 0.40238985670731703
SWU4 DKT Ipsi 0.2545207286585366
SWU4 DKT Ipsi 0.29428174390243905
SWU4 DKT Ipsi 0.32917827560975615
SWU4 DKT Ipsi 0.3130885896341463
SWU4 DKT Ipsi 0.3326403890243903
SWU4 DKT Ipsi 0.27772361097560977
SWU4 DKT Ipsi 0.3013346170731708
SWU4 DKT Ipsi 0.3530477670731707
SWU4 DKT Ipsi 0.3410775414634146
SWU4 DKT Ipsi 0.24312874756097558
SWU4 DKT Ipsi 0.29349231707317075
SWU4 DKT Ipsi 0.3142324152439025
SWU4 DKT Ipsi 0.5200707926829268
SWU4 DKT Ipsi 0.2812380646341463
SWU4 DKT Ipsi 0.2828753067073171
SWU4 DKT Ipsi 0.3606366176829268
SWU4 DKT Ipsi 0.24445317560975613
SWU4 DKT Ipsi 0.30917108597560977
SWU4 DKT Ipsi 0.2734876085365854
SWU4 DKT Ipsi 0.2108256475609756
SWU4 DKT Ipsi 0.2865199323170732
SWU4 DKT Ipsi 0.34795705792682924
SWU4 DKT Ipsi 0.3355187554878049
SWU4 DKT Ipsi 0.27815638658536584
SWU4 DKT Ipsi 0.4781765682926829
SWU4 DKT Ipsi 0.2822662585365853
SWU4 DKT Ipsi 0.4242237341463414
SWU4 DKT Ipsi 0.30466270609756096
SWU4 DKT Ipsi 0.3413165006097561
SWU4 DKT Ipsi 0.2226219518292683
SWU4 DKT Ipsi 0.26201023719512195
SWU4 DKT Ipsi 0.25145864390243905
SWU4 DKT Ipsi 0.531347493902439
SWU4 DKT Ipsi 0.2942818585365854
SWU4 DKT Ipsi 0.3314000335365854
SWU4 DKT Ipsi 0.2568945414634146
SWU4 DKT Ipsi 0.3399376597560975
SWU4 DKT Ipsi 0.2841699932926829
SWU4 DKT Ipsi 0.26315231341463413
SWU4 DKT Ipsi 0.35375915304878053
SWU4 DKT Ipsi 0.30104666036585365
SWU4 DKT Ipsi 0.30659900975609755
SWU4 DKT Ipsi 0.4231997097560976
SWU4 DKT Ipsi 0.27129366402439026
SWU4 DKT Ipsi 0.32788310548780486
SWU4 DKT Ipsi 0.209994787804878
SWU4 DKT Ipsi 0.34195474451219515
SWU4 DKT Ipsi 0.26447763048780487
SWU4 DKT Ipsi 0.3547728445121951
SWU4 DKT Ipsi 0.35180016585365853
SWU4 DKT Ipsi 0.28858170792682925
SWU4 DKT Ipsi 0.2626913609756097
SWU4 DKT Ipsi 0.2586665012195122
SWU4 DKT Ipsi 0.24760975365853657
SWU4 DKT Ipsi 0.2810515359756098
SWU4 DKT Ipsi 0.35478418231707315
SWU4 DKT Ipsi 0.2552459853658537
SWU4 DKT Ipsi 0.3416399274390243
SWU4 DKT Ipsi 0.3577530231707317
SWU4 DKT Ipsi 0.25232832987804876
SWU4 DKT Ipsi 0.31355881036585365
SWU4 DKT Ipsi 0.2965502993902439
SWU4 DKT Ipsi 0.32270016158536585
SWU4 DKT Ipsi 0.213230831097561
SWU4 DKT Ipsi 0.2775261853658536
SWU4 DKT Ipsi 0.6567964475609755
SWU4 DKT Ipsi 0.20603495853658538
SWU4 DKT Ipsi 0.3002138817073171
SWU4 DKT Ipsi 0.27740420426829265
SWU4 DKT Ipsi 0.4019858725609756
SWU4 DKT Ipsi 0.2684188768292683
SWU4 DKT Ipsi 0.3563814829268292
SWU4 DKT Ipsi 0.5222579274390244
SWU4 DKT Ipsi 0.2515227195121951
SWU4 DKT Ipsi 0.24320064329268293
SWU4 DKT Ipsi 0.279108281097561
SWU4 DKT Ipsi 0.3438950219512195
SWU4 DKT Ipsi 0.37095069329268293
SWU4 DKT Ipsi 0.2752581695121951
