Dataset Atlas Type Value
SWU4 Hammer Ipsi 0.322914018125
SWU4 Hammer Ipsi 0.27757099125
SWU4 Hammer Ipsi 0.300907508125
SWU4 Hammer Ipsi 0.358198043125
SWU4 Hammer Ipsi 0.32061847125
SWU4 Hammer Ipsi 0.37752288562499997
SWU4 Hammer Ipsi 0.249123714375
SWU4 Hammer Ipsi 0.311283918125
SWU4 Hammer Ipsi 0.31486229625
SWU4 Hammer Ipsi 0.19930590375
SWU4 Hammer Ipsi 0.282797671875
SWU4 Hammer Ipsi 0.39395483562500005
SWU4 Hammer Ipsi 0.424123204375
SWU4 Hammer Ipsi 0.2341486475
SWU4 Hammer Ipsi 0.32447736687499995
SWU4 Hammer Ipsi 0.2745412575
SWU4 Hammer Ipsi 0.2725290425
SWU4 Hammer Ipsi 0.324654668125
SWU4 Hammer Ipsi 0.25655196
SWU4 Hammer Ipsi 0.31828797000000003
SWU4 Hammer Ipsi 0.27576169562499997
SWU4 Hammer Ipsi 0.228181918125
SWU4 Hammer Ipsi 0.308281198125
SWU4 Hammer Ipsi 0.40419429749999997
SWU4 Hammer Ipsi 0.279675874375
SWU4 Hammer Ipsi 0.25299744687500003
SWU4 Hammer Ipsi 0.21364611374999998
SWU4 Hammer Ipsi 0.29668610687499997
SWU4 Hammer Ipsi 0.22854765375
SWU4 Hammer Ipsi 0.44793055249999997
SWU4 Hammer Ipsi 0.30468453375000004
SWU4 Hammer Ipsi 0.26150264999999995
SWU4 Hammer Ipsi 0.229206054375
SWU4 Hammer Ipsi 0.324775296875
SWU4 Hammer Ipsi 0.275403895625
SWU4 Hammer Ipsi 0.26234449125000003
SWU4 Hammer Ipsi 0.38035306625
SWU4 Hammer Ipsi 0.26136827
SWU4 Hammer Ipsi 0.29252662749999997
SWU4 Hammer Ipsi 0.27647177
SWU4 Hammer Ipsi 0.32378448125
SWU4 Hammer Ipsi 0.24321480937499998
SWU4 Hammer Ipsi 0.27995594625000003
SWU4 Hammer Ipsi 0.37449309999999997
SWU4 Hammer Ipsi 0.33572237937500005
SWU4 Hammer Ipsi 0.418832116875
SWU4 Hammer Ipsi 0.23187421874999997
SWU4 Hammer Ipsi 0.272298573125
SWU4 Hammer Ipsi 0.38178071
SWU4 Hammer Ipsi 0.24964021312499998
SWU4 Hammer Ipsi 0.282215263125
SWU4 Hammer Ipsi 0.2716464825
SWU4 Hammer Ipsi 0.2878229975
SWU4 Hammer Ipsi 0.31604040375
SWU4 Hammer Ipsi 0.265608508125
SWU4 Hammer Ipsi 0.2961888375
SWU4 Hammer Ipsi 0.3679240274999999
SWU4 Hammer Ipsi 0.288688409375
SWU4 Hammer Ipsi 0.238523225
SWU4 Hammer Ipsi 0.276569461875
SWU4 Hammer Ipsi 0.30448322625
SWU4 Hammer Ipsi 0.479543686875
SWU4 Hammer Ipsi 0.30729867625000007
SWU4 Hammer Ipsi 0.2622064125
SWU4 Hammer Ipsi 0.3653364225
SWU4 Hammer Ipsi 0.236863474375
SWU4 Hammer Ipsi 0.2998802125
SWU4 Hammer Ipsi 0.262600655625
SWU4 Hammer Ipsi 0.205144458125
SWU4 Hammer Ipsi 0.30400288375
SWU4 Hammer Ipsi 0.342064315
SWU4 Hammer Ipsi 0.30166241625
SWU4 Hammer Ipsi 0.28212331
SWU4 Hammer Ipsi 0.44435050875000004
SWU4 Hammer Ipsi 0.264778605625
SWU4 Hammer Ipsi 0.34591591312500003
SWU4 Hammer Ipsi 0.290060154375
SWU4 Hammer Ipsi 0.35982824812499997
SWU4 Hammer Ipsi 0.2198503025
SWU4 Hammer Ipsi 0.2630780575
SWU4 Hammer Ipsi 0.245419855
SWU4 Hammer Ipsi 0.45535056749999997
SWU4 Hammer Ipsi 0.26594240625
SWU4 Hammer Ipsi 0.321769554375
SWU4 Hammer Ipsi 0.25344387062499996
SWU4 Hammer Ipsi 0.31607733062500004
SWU4 Hammer Ipsi 0.260126466875
SWU4 Hammer Ipsi 0.266570123125
SWU4 Hammer Ipsi 0.3482561699999999
SWU4 Hammer Ipsi 0.27368841
SWU4 Hammer Ipsi 0.29022896
SWU4 Hammer Ipsi 0.38463720875
SWU4 Hammer Ipsi 0.264612355625
SWU4 Hammer Ipsi 0.283378623125
SWU4 Hammer Ipsi 0.205311264375
SWU4 Hammer Ipsi 0.34922138562499994
SWU4 Hammer Ipsi 0.2622199275
SWU4 Hammer Ipsi 0.29421338625
SWU4 Hammer Ipsi 0.327056659375
SWU4 Hammer Ipsi 0.282001513125
SWU4 Hammer Ipsi 0.28084581375
SWU4 Hammer Ipsi 0.262529329375
SWU4 Hammer Ipsi 0.23241280812499998
SWU4 Hammer Ipsi 0.2496983525
SWU4 Hammer Ipsi 0.340287825625
SWU4 Hammer Ipsi 0.225453876875
SWU4 Hammer Ipsi 0.33244094187499995
SWU4 Hammer Ipsi 0.36295376812499996
SWU4 Hammer Ipsi 0.24476495937499998
SWU4 Hammer Ipsi 0.31608051249999997
SWU4 Hammer Ipsi 0.29526050312499996
SWU4 Hammer Ipsi 0.333369669375
SWU4 Hammer Ipsi 0.19200962687499998
